Using HT bins:  400-500-800-1000-99999	 Using MET bins: 125-150-250-350-99999
N_ldp_M4_H2_1b  	60.5446
N_ldp_M4_H2_2b  	21.0237
N_ldp_M4_H2_3b  	0.443029
N_ldp_M4_H3_1b  	70.7024
N_ldp_M4_H3_2b  	9.67398
N_ldp_M4_H3_3b  	0.773439
N_ldp_M4_H4_1b  	183.09
N_ldp_M4_H4_2b  	34.283
N_ldp_M4_H4_3b  	2.42709
R_lsb_H1_1b       0.1
R_lsb_H1_1b_err   0.01
R_lsb_H1_2b       0.1
R_lsb_H1_2b_err   0.01
R_lsb_H1_3b       0.1
R_lsb_H1_3b_err   0.01
R_lsb_H2_1b       0.1
R_lsb_H2_1b_err   0.01
R_lsb_H2_2b       0.1
R_lsb_H2_2b_err   0.01
R_lsb_H2_3b       0.1
R_lsb_H2_3b_err   0.01
R_lsb_H3_1b       0.1
R_lsb_H3_1b_err   0.01
R_lsb_H3_2b       0.1
R_lsb_H3_2b_err   0.01
R_lsb_H3_3b       0.1
R_lsb_H3_3b_err   0.01
R_lsb_H4_1b       0.1
R_lsb_H4_1b_err   0.01
R_lsb_H4_2b       0.1
R_lsb_H4_2b_err   0.01
R_lsb_H4_3b       0.1
R_lsb_H4_3b_err   0.01
N_Zee_M1_H1      	50
N_Zee_M1_H2      	20
N_Zee_M1_H3      	5
N_Zee_M1_H4      	2
N_Zee_M2_H1      	94
N_Zee_M2_H2      	85
N_Zee_M2_H3      	12
N_Zee_M2_H4      	2
N_Zee_M3_H1      	43
N_Zee_M3_H2      	48
N_Zee_M3_H3      	7
N_Zee_M3_H4      	6
N_Zee_M4_H1      	14
N_Zee_M4_H2      	31
N_Zee_M4_H3      	5
N_Zee_M4_H4      	3
N_Zmm_M1_H1      	58
N_Zmm_M1_H2      	47
N_Zmm_M1_H3      	1
N_Zmm_M1_H4      	0
N_Zmm_M2_H1      	142
N_Zmm_M2_H2      	119
N_Zmm_M2_H3      	14
N_Zmm_M2_H4      	2
N_Zmm_M3_H1      	55
N_Zmm_M3_H2      	56
N_Zmm_M3_H3      	9
N_Zmm_M3_H4      	2
N_Zmm_M4_H1      	17
N_Zmm_M4_H2      	39
N_Zmm_M4_H3      	7
N_Zmm_M4_H4      	5
N_ttbarsingletopzjetsmc_ldp_M1_H1_1b  	0
N_ttbarsingletopzjetsmc_ldp_M1_H1_2b  	0
N_ttbarsingletopzjetsmc_ldp_M1_H1_3b  	0
N_ttbarsingletopzjetsmc_ldp_M1_H2_1b  	0
N_ttbarsingletopzjetsmc_ldp_M1_H2_2b  	0
N_ttbarsingletopzjetsmc_ldp_M1_H2_3b  	0
N_ttbarsingletopzjetsmc_ldp_M1_H3_1b  	0
N_ttbarsingletopzjetsmc_ldp_M1_H3_2b  	0
N_ttbarsingletopzjetsmc_ldp_M1_H3_3b  	0
N_ttbarsingletopzjetsmc_ldp_M1_H4_1b  	0
N_ttbarsingletopzjetsmc_ldp_M1_H4_2b  	0
N_ttbarsingletopzjetsmc_ldp_M1_H4_3b  	0
N_ttbarsingletopzjetsmc_ldp_M2_H1_1b  	0
N_ttbarsingletopzjetsmc_ldp_M2_H1_2b  	0
N_ttbarsingletopzjetsmc_ldp_M2_H1_3b  	0
N_ttbarsingletopzjetsmc_ldp_M2_H2_1b  	0
N_ttbarsingletopzjetsmc_ldp_M2_H2_2b  	0
N_ttbarsingletopzjetsmc_ldp_M2_H2_3b  	0
N_ttbarsingletopzjetsmc_ldp_M2_H3_1b  	0
N_ttbarsingletopzjetsmc_ldp_M2_H3_2b  	0
N_ttbarsingletopzjetsmc_ldp_M2_H3_3b  	0
N_ttbarsingletopzjetsmc_ldp_M2_H4_1b  	0
N_ttbarsingletopzjetsmc_ldp_M2_H4_2b  	0
N_ttbarsingletopzjetsmc_ldp_M2_H4_3b  	0
N_ttbarsingletopzjetsmc_ldp_M3_H1_1b  	0
N_ttbarsingletopzjetsmc_ldp_M3_H1_2b  	0
N_ttbarsingletopzjetsmc_ldp_M3_H1_3b  	0
N_ttbarsingletopzjetsmc_ldp_M3_H2_1b  	0
N_ttbarsingletopzjetsmc_ldp_M3_H2_2b  	0
N_ttbarsingletopzjetsmc_ldp_M3_H2_3b  	0
N_ttbarsingletopzjetsmc_ldp_M3_H3_1b  	0
N_ttbarsingletopzjetsmc_ldp_M3_H3_2b  	0
N_ttbarsingletopzjetsmc_ldp_M3_H3_3b  	0
N_ttbarsingletopzjetsmc_ldp_M3_H4_1b  	0
N_ttbarsingletopzjetsmc_ldp_M3_H4_2b  	0
N_ttbarsingletopzjetsmc_ldp_M3_H4_3b  	0
N_ttbarsingletopzjetsmc_ldp_M4_H1_1b  	0
N_ttbarsingletopzjetsmc_ldp_M4_H1_2b  	0
N_ttbarsingletopzjetsmc_ldp_M4_H1_3b  	0
N_ttbarsingletopzjetsmc_ldp_M4_H2_1b  	0
N_ttbarsingletopzjetsmc_ldp_M4_H2_2b  	0
N_ttbarsingletopzjetsmc_ldp_M4_H2_3b  	0
N_ttbarsingletopzjetsmc_ldp_M4_H3_1b  	0
N_ttbarsingletopzjetsmc_ldp_M4_H3_2b  	0
N_ttbarsingletopzjetsmc_ldp_M4_H3_3b  	0
N_ttbarsingletopzjetsmc_ldp_M4_H4_1b  	0
N_ttbarsingletopzjetsmc_ldp_M4_H4_2b  	0
N_ttbarsingletopzjetsmc_ldp_M4_H4_3b  	0
N_WJmc_ldp_M1_H1_1b  	0
N_WJmc_ldp_M1_H1_2b  	0
N_WJmc_ldp_M1_H1_3b  	0
N_WJmc_ldp_M1_H2_1b  	0
N_WJmc_ldp_M1_H2_2b  	0
N_WJmc_ldp_M1_H2_3b  	0
N_WJmc_ldp_M1_H3_1b  	0
N_WJmc_ldp_M1_H3_2b  	0
N_WJmc_ldp_M1_H3_3b  	0
N_WJmc_ldp_M1_H4_1b  	0
N_WJmc_ldp_M1_H4_2b  	0
N_WJmc_ldp_M1_H4_3b  	0
N_WJmc_ldp_M2_H1_1b  	0
N_WJmc_ldp_M2_H1_2b  	0
N_WJmc_ldp_M2_H1_3b  	0
N_WJmc_ldp_M2_H2_1b  	0
N_WJmc_ldp_M2_H2_2b  	0
N_WJmc_ldp_M2_H2_3b  	0
N_WJmc_ldp_M2_H3_1b  	0
N_WJmc_ldp_M2_H3_2b  	0
N_WJmc_ldp_M2_H3_3b  	0
N_WJmc_ldp_M2_H4_1b  	0
N_WJmc_ldp_M2_H4_2b  	0
N_WJmc_ldp_M2_H4_3b  	0
N_WJmc_ldp_M3_H1_1b  	0
N_WJmc_ldp_M3_H1_2b  	0
N_WJmc_ldp_M3_H1_3b  	0
N_WJmc_ldp_M3_H2_1b  	0
N_WJmc_ldp_M3_H2_2b  	0
N_WJmc_ldp_M3_H2_3b  	0
N_WJmc_ldp_M3_H3_1b  	0
N_WJmc_ldp_M3_H3_2b  	0
N_WJmc_ldp_M3_H3_3b  	0
N_WJmc_ldp_M3_H4_1b  	0
N_WJmc_ldp_M3_H4_2b  	0
N_WJmc_ldp_M3_H4_3b  	0
N_WJmc_ldp_M4_H1_1b  	0
N_WJmc_ldp_M4_H1_2b  	0
N_WJmc_ldp_M4_H1_3b  	0
N_WJmc_ldp_M4_H2_1b  	0
N_WJmc_ldp_M4_H2_2b  	0
N_WJmc_ldp_M4_H2_3b  	0
N_WJmc_ldp_M4_H3_1b  	0
N_WJmc_ldp_M4_H3_2b  	0
N_WJmc_ldp_M4_H3_3b  	0
N_WJmc_ldp_M4_H4_1b  	0
N_WJmc_ldp_M4_H4_2b  	0
N_WJmc_ldp_M4_H4_3b  	0
N_Znnmc_ldp_M1_H1_1b  	0
N_Znnmc_ldp_M1_H1_2b  	0
N_Znnmc_ldp_M1_H1_3b  	0
N_Znnmc_ldp_M1_H2_1b  	0
N_Znnmc_ldp_M1_H2_2b  	0
N_Znnmc_ldp_M1_H2_3b  	0
N_Znnmc_ldp_M1_H3_1b  	0
N_Znnmc_ldp_M1_H3_2b  	0
N_Znnmc_ldp_M1_H3_3b  	0
N_Znnmc_ldp_M1_H4_1b  	0
N_Znnmc_ldp_M1_H4_2b  	0
N_Znnmc_ldp_M1_H4_3b  	0
N_Znnmc_ldp_M2_H1_1b  	0
N_Znnmc_ldp_M2_H1_2b  	0
N_Znnmc_ldp_M2_H1_3b  	0
N_Znnmc_ldp_M2_H2_1b  	0
N_Znnmc_ldp_M2_H2_2b  	0
N_Znnmc_ldp_M2_H2_3b  	0
N_Znnmc_ldp_M2_H3_1b  	0
N_Znnmc_ldp_M2_H3_2b  	0
N_Znnmc_ldp_M2_H3_3b  	0
N_Znnmc_ldp_M2_H4_1b  	0
N_Znnmc_ldp_M2_H4_2b  	0
N_Znnmc_ldp_M2_H4_3b  	0
N_Znnmc_ldp_M3_H1_1b  	0
N_Znnmc_ldp_M3_H1_2b  	0
N_Znnmc_ldp_M3_H1_3b  	0
N_Znnmc_ldp_M3_H2_1b  	0
N_Znnmc_ldp_M3_H2_2b  	0
N_Znnmc_ldp_M3_H2_3b  	0
N_Znnmc_ldp_M3_H3_1b  	0
N_Znnmc_ldp_M3_H3_2b  	0
N_Znnmc_ldp_M3_H3_3b  	0
N_Znnmc_ldp_M3_H4_1b  	0
N_Znnmc_ldp_M3_H4_2b  	0
N_Znnmc_ldp_M3_H4_3b  	0
N_Znnmc_ldp_M4_H1_1b  	0
N_Znnmc_ldp_M4_H1_2b  	0
N_Znnmc_ldp_M4_H1_3b  	0
N_Znnmc_ldp_M4_H2_1b  	0
N_Znnmc_ldp_M4_H2_2b  	0
N_Znnmc_ldp_M4_H2_3b  	0
N_Znnmc_ldp_M4_H3_1b  	0
N_Znnmc_ldp_M4_H3_2b  	0
N_Znnmc_ldp_M4_H3_3b  	0
N_Znnmc_ldp_M4_H4_1b  	0
N_Znnmc_ldp_M4_H4_2b  	0
N_Znnmc_ldp_M4_H4_3b  	0
acc_Zee_M1       	0.676
acc_Zee_M1_err  	0.014
acc_Zee_M2       	0.7
acc_Zee_M2_err  	0.015
acc_Zee_M3       	0.741
acc_Zee_M3_err  	0.015
acc_Zee_M4       	0.792
acc_Zee_M4_err 	0.016
acc_Zmm_M1       	0.674
acc_Zmm_M1_err  	0.014
acc_Zmm_M2       	0.733
acc_Zmm_M2_err  	0.014
acc_Zmm_M3       	0.81
acc_Zmm_M3_err 	0.015
acc_Zmm_M4       	0.857
acc_Zmm_M4_err  	0.018
Z_ee_eff          	0.516
Z_ee_eff_err      	0.056
Z_mm_eff          	0.557
Z_mm_eff_err      	0.036
knn_1b_M1        	0.421
knn_1b_M1_err    	0.082
knn_1b_M2        	0.405
knn_1b_M2_err    	0.079
knn_1b_M3       	0.368
knn_1b_M3_err    	0.072
knn_1b_M4        	0.313
knn_1b_M4_err    	0.065
knn_2b           	0.133
knn_2b_err       	0.035
knn_3b           	0.007
knn_3b_err       	0.004
Z_ee_pur  	0.829
Z_ee_pur_err  	0.112
Z_mm_pur  	0.801
Z_mm_pur_err  	0.092
sf_mc  	1
sf_mc_err  	0.1
sf_qcd_M1_H1_1b  	1
sf_qcd_M1_H1_1b_err  	0.1
sf_qcd_M1_H1_2b  	1
sf_qcd_M1_H1_2b_err  	0.1
sf_qcd_M1_H1_3b  	1
sf_qcd_M1_H1_3b_err  	0.1
sf_qcd_M1_H2_1b  	1
sf_qcd_M1_H2_1b_err  	0.1
sf_qcd_M1_H2_2b  	1
sf_qcd_M1_H2_2b_err  	0.1
sf_qcd_M1_H2_3b  	1
sf_qcd_M1_H2_3b_err  	0.1
sf_qcd_M1_H3_1b  	1
sf_qcd_M1_H3_1b_err  	0.1
sf_qcd_M1_H3_2b  	1
sf_qcd_M1_H3_2b_err  	0.1
sf_qcd_M1_H3_3b  	1
sf_qcd_M1_H3_3b_err  	0.1
sf_qcd_M1_H4_1b  	1
sf_qcd_M1_H4_1b_err  	0.1
sf_qcd_M1_H4_2b  	1
sf_qcd_M1_H4_2b_err  	0.1
sf_qcd_M1_H4_3b  	1
sf_qcd_M1_H4_3b_err  	0.1
sf_qcd_M2_H1_1b  	1
sf_qcd_M2_H1_1b_err  	0.1
sf_qcd_M2_H1_2b  	1
sf_qcd_M2_H1_2b_err  	0.1
sf_qcd_M2_H1_3b  	1
sf_qcd_M2_H1_3b_err  	0.1
sf_qcd_M2_H2_1b  	1
sf_qcd_M2_H2_1b_err  	0.1
sf_qcd_M2_H2_2b  	1
sf_qcd_M2_H2_2b_err  	0.1
sf_qcd_M2_H2_3b  	1
sf_qcd_M2_H2_3b_err  	0.1
sf_qcd_M2_H3_1b  	1
sf_qcd_M2_H3_1b_err  	0.1
sf_qcd_M2_H3_2b  	1
sf_qcd_M2_H3_2b_err  	0.1
sf_qcd_M2_H3_3b  	1
sf_qcd_M2_H3_3b_err  	0.1
sf_qcd_M2_H4_1b  	1
sf_qcd_M2_H4_1b_err  	0.1
sf_qcd_M2_H4_2b  	1
sf_qcd_M2_H4_2b_err  	0.1
sf_qcd_M2_H4_3b  	1
sf_qcd_M2_H4_3b_err  	0.1
sf_qcd_M3_H1_1b  	1
sf_qcd_M3_H1_1b_err  	0.1
sf_qcd_M3_H1_2b  	1
sf_qcd_M3_H1_2b_err  	0.1
sf_qcd_M3_H1_3b  	1
sf_qcd_M3_H1_3b_err  	0.1
sf_qcd_M3_H2_1b  	1
sf_qcd_M3_H2_1b_err  	0.1
sf_qcd_M3_H2_2b  	1
sf_qcd_M3_H2_2b_err  	0.1
sf_qcd_M3_H2_3b  	1
sf_qcd_M3_H2_3b_err  	0.1
sf_qcd_M3_H3_1b  	1
sf_qcd_M3_H3_1b_err  	0.1
sf_qcd_M3_H3_2b  	1
sf_qcd_M3_H3_2b_err  	0.1
sf_qcd_M3_H3_3b  	1
sf_qcd_M3_H3_3b_err  	0.1
sf_qcd_M3_H4_1b  	1
sf_qcd_M3_H4_1b_err  	0.1
sf_qcd_M3_H4_2b  	1
sf_qcd_M3_H4_2b_err  	0.1
sf_qcd_M3_H4_3b  	1
sf_qcd_M3_H4_3b_err  	0.1
sf_qcd_M4_H1_1b  	1
sf_qcd_M4_H1_1b_err  	0.1
sf_qcd_M4_H1_2b  	1
sf_qcd_M4_H1_2b_err  	0.1
sf_qcd_M4_H1_3b  	1
sf_qcd_M4_H1_3b_err  	0.1
sf_qcd_M4_H2_1b  	1
sf_qcd_M4_H2_1b_err  	0.1
sf_qcd_M4_H2_2b  	1
sf_qcd_M4_H2_2b_err  	0.1
sf_qcd_M4_H2_3b  	1
sf_qcd_M4_H2_3b_err  	0.1
sf_qcd_M4_H3_1b  	1
sf_qcd_M4_H3_1b_err  	0.1
sf_qcd_M4_H3_2b  	1
sf_qcd_M4_H3_2b_err  	0.1
sf_qcd_M4_H3_3b  	1
sf_qcd_M4_H3_3b_err  	0.1
sf_qcd_M4_H4_1b  	1
sf_qcd_M4_H4_1b_err  	0.1
sf_qcd_M4_H4_2b  	1
sf_qcd_M4_H4_2b_err  	0.1
sf_qcd_M4_H4_3b  	1
sf_qcd_M4_H4_3b_err  	0.1
sf_ttwj_M1_H1_1b  	1
sf_ttwj_M1_H1_1b_err  	0.1
sf_ttwj_M1_H1_2b  	1
sf_ttwj_M1_H1_2b_err  	0.1
sf_ttwj_M1_H1_3b  	1
sf_ttwj_M1_H1_3b_err  	0.1
sf_ttwj_M1_H2_1b  	1
sf_ttwj_M1_H2_1b_err  	0.1
sf_ttwj_M1_H2_2b  	1
sf_ttwj_M1_H2_2b_err  	0.1
sf_ttwj_M1_H2_3b  	1
sf_ttwj_M1_H2_3b_err  	0.1
sf_ttwj_M1_H3_1b  	1
sf_ttwj_M1_H3_1b_err  	0.1
sf_ttwj_M1_H3_2b  	1
sf_ttwj_M1_H3_2b_err  	0.1
sf_ttwj_M1_H3_3b  	1
sf_ttwj_M1_H3_3b_err  	0.1
sf_ttwj_M1_H4_1b  	1
sf_ttwj_M1_H4_1b_err  	0.1
sf_ttwj_M1_H4_2b  	1
sf_ttwj_M1_H4_2b_err  	0.1
sf_ttwj_M1_H4_3b  	1
sf_ttwj_M1_H4_3b_err  	0.1
sf_ttwj_M2_H1_1b  	1
sf_ttwj_M2_H1_1b_err  	0.1
sf_ttwj_M2_H1_2b  	1
sf_ttwj_M2_H1_2b_err  	0.1
sf_ttwj_M2_H1_3b  	1
sf_ttwj_M2_H1_3b_err  	0.1
sf_ttwj_M2_H2_1b  	1
sf_ttwj_M2_H2_1b_err  	0.1
sf_ttwj_M2_H2_2b  	1
sf_ttwj_M2_H2_2b_err  	0.1
sf_ttwj_M2_H2_3b  	1
sf_ttwj_M2_H2_3b_err  	0.1
sf_ttwj_M2_H3_1b  	1
sf_ttwj_M2_H3_1b_err  	0.1
sf_ttwj_M2_H3_2b  	1
sf_ttwj_M2_H3_2b_err  	0.1
sf_ttwj_M2_H3_3b  	1
sf_ttwj_M2_H3_3b_err  	0.1
sf_ttwj_M2_H4_1b  	1
sf_ttwj_M2_H4_1b_err  	0.1
sf_ttwj_M2_H4_2b  	1
sf_ttwj_M2_H4_2b_err  	0.1
sf_ttwj_M2_H4_3b  	1
sf_ttwj_M2_H4_3b_err  	0.1
sf_ttwj_M3_H1_1b  	1
sf_ttwj_M3_H1_1b_err  	0.1
sf_ttwj_M3_H1_2b  	1
sf_ttwj_M3_H1_2b_err  	0.1
sf_ttwj_M3_H1_3b  	1
sf_ttwj_M3_H1_3b_err  	0.1
sf_ttwj_M3_H2_1b  	1
sf_ttwj_M3_H2_1b_err  	0.1
sf_ttwj_M3_H2_2b  	1
sf_ttwj_M3_H2_2b_err  	0.1
sf_ttwj_M3_H2_3b  	1
sf_ttwj_M3_H2_3b_err  	0.1
sf_ttwj_M3_H3_1b  	1
sf_ttwj_M3_H3_1b_err  	0.1
sf_ttwj_M3_H3_2b  	1
sf_ttwj_M3_H3_2b_err  	0.1
sf_ttwj_M3_H3_3b  	1
sf_ttwj_M3_H3_3b_err  	0.1
sf_ttwj_M3_H4_1b  	1
sf_ttwj_M3_H4_1b_err  	0.1
sf_ttwj_M3_H4_2b  	1
sf_ttwj_M3_H4_2b_err  	0.1
sf_ttwj_M3_H4_3b  	1
sf_ttwj_M3_H4_3b_err  	0.1
sf_ttwj_M4_H1_1b  	1
sf_ttwj_M4_H1_1b_err  	0.1
sf_ttwj_M4_H1_2b  	1
sf_ttwj_M4_H1_2b_err  	0.1
sf_ttwj_M4_H1_3b  	1
sf_ttwj_M4_H1_3b_err  	0.1
sf_ttwj_M4_H2_1b  	1
sf_ttwj_M4_H2_1b_err  	0.1
sf_ttwj_M4_H2_2b  	1
sf_ttwj_M4_H2_2b_err  	0.1
sf_ttwj_M4_H2_3b  	1
sf_ttwj_M4_H2_3b_err  	0.1
sf_ttwj_M4_H3_1b  	1
sf_ttwj_M4_H3_1b_err  	0.1
sf_ttwj_M4_H3_2b  	1
sf_ttwj_M4_H3_2b_err  	0.1
sf_ttwj_M4_H3_3b  	1
sf_ttwj_M4_H3_3b_err  	0.1
sf_ttwj_M4_H4_1b  	1
sf_ttwj_M4_H4_1b_err  	0.1
sf_ttwj_M4_H4_2b  	1
sf_ttwj_M4_H4_2b_err  	0.1
sf_ttwj_M4_H4_3b  	1
sf_ttwj_M4_H4_3b_err  	0.1
sf_ttwj_slSig_M1_H1_1b  	1
sf_ttwj_slSig_M1_H1_1b_err  	0.1
sf_ttwj_slSig_M1_H1_2b  	1
sf_ttwj_slSig_M1_H1_2b_err  	0.1
sf_ttwj_slSig_M1_H1_3b  	1
sf_ttwj_slSig_M1_H1_3b_err  	0.1
sf_ttwj_slSig_M1_H2_1b  	1
sf_ttwj_slSig_M1_H2_1b_err  	0.1
sf_ttwj_slSig_M1_H2_2b  	1
sf_ttwj_slSig_M1_H2_2b_err  	0.1
sf_ttwj_slSig_M1_H2_3b  	1
sf_ttwj_slSig_M1_H2_3b_err  	0.1
sf_ttwj_slSig_M1_H3_1b  	1
sf_ttwj_slSig_M1_H3_1b_err  	0.1
sf_ttwj_slSig_M1_H3_2b  	1
