Nm3jbins 5
m0_binning   41  200  600  10
m12_binning  27  140  400  10
NscanPoints  1107
    m0    m12      Xsec     nsel    n_a    n_d      sb1     sb2     sb3     sb4     sb5  slmsb1  slmsb2  slmsb3  slmsb4  slmsb5   slsb1   slsb2   slsb3   slsb4   slsb5  slsig1  slsig2  slsig3  slsig4  slsig5
   240    270       2.237   1265     40    216       18      36      70      43      18       3       5       7       8       2       5      10      17       7       4      31      81     130      84      40 
   240    280       1.821   1230     37    207       16      37      59      38      22       2       7      11       9       2       7       5      22       8       3      38      70     110      84      37 
   240    290       1.501   1236     44    210       16      24      49      29      11       2       6       4       6       2       4      10      11       8       5      36      54     112      67      34 
   240    300       1.260   1258     40    193       16      31      51      38      14       5       7       8       3       4       0       7      13       6       8      41      48      93      73      33 
   240    310       1.045   1157     43    198       10      35      38      26      13       3       5       6       3       6       1      13       9      10       2      42      76     112      88      53 
   240    320       0.872   1023     29    189       17      19      32      19      12       3       5      14       7       4       6       6      15      13       2      47      71     140      97      39 
   240    330       0.728   1015     30    163       11      32      28      22      19       4       8       8       4       3       7       4      10       8       6      53      72     136     106      53 
   240    340       0.622    984     27    177       14      18      31      27      12       5       5      12       4       2       1       4      16       4       3      41      63     120      85      65 
   240    350       0.532    926     38    168        4      10      26      20      17       1       4       4       7       3       6      11      11      11       5      40      57     121      84      64 
   240    360       0.450    905     20    147       10      14      37      20      15       1       4       7       6       1       2       6      15      12       5      35      53     121      68      66 
   240    370       0.389    800     21    149        7      18      29      17      20       2       6       9       4       4       3       9      10       7       4      20      65     109      75      52 
   240    380       0.335    879     28    138        4      17      29      13       9       3       4       8       7       4       1       8       6      10       7      36      54     116      93      60 
   240    390       0.287    770     16    144        8      10      21      21       6       3       4       4       2       2       2       5       8      10       8      30      48      89      68      62 
   240    400       0.249    774     17    144        3      10      19      19       9       2       3       4       6       3       6       4       8       3       7      34      40      97      94      52 
   250    140      51.640    946    218    263       95     213     239      86      23      15      41      43      13       9      17      50      46      18       7      25      35      60      27       8 
   250    150      37.970   1042    189    289       81     211     224      82      27      23      44      38      18       4      22      50      58      14       3      28      52      61      26      13 
   250    160      28.590   1228    204    293       68     193     238      80      32      15      47      38      20       9      16      48      59      28       7      39      69      84      36      13 
   250    170      21.310   1234    171    287       77     171     213      80      26      17      34      49      24       7       8      47      54      13       7      51      79     119      43      19 
   250    180      16.390   1276    132    299       68     116     182      66      39      21      31      40      15       4      22      49      48      24       9      50      81     127      65      26 
   250    190      12.690   1306    126    281       48      92     130      84      33       8      28      39      12       8      16      31      56      18      12      60      77     122      56      28 
   250    200       9.887   1327     71    245       46      70     120      61      31      12      21      31      20       9      22      41      42      20      12      38      72     186      82      44 
   250    210       7.798   1296     77    228       46      76     121      54      22       6      14      27      24      10      17      25      54      17      11      52     102     165      93      29 
   250    220       6.188   1298     72    260       32      62      85      54      30      11      12      34      13       3       9      24      51      27       6      58     101     137      85      33 
   250    230       5.003   1229     66    234       23      57      96      47      24       6      15      28      16       5      15      22      34      18      17      49     102     195      98      51 
   250    240       4.004   1227     77    214       26      48      98      46      24       5      11      26      12       2       8      22      29      17       8      71      88     163      96      43 
   250    250       3.247   1289     61    244       18      49      73      38      17       7      12      19      16       7       6      13      37      26      14      42      80     170      93      56 
   250    260       2.653   1252     52    229       21      43      78      36      14       8      10      16      15       5       6      18      32      17       9      50      79     146      96      43 
   250    270       2.158   1181     52    222       20      35      68      42      12       8       8       8       5       5       8      18      20      18       8      44      88     182      93      37 
   250    280       1.772   1275     63    205       19      25      64      30      20       4       8      13       4       6       6      12      21      12       7      47      68     116      81      45 
   250    290       1.485   1282     34    201       13      31      51      35      15       1       2      11       7       1       2      14      18      10       4      40      83     116      92      52 
   250    300       1.218   1238     45    210       18      30      47      30      16       2       3       8       6       7       4       5      16      10       4      26      53     104      70      35 
   250    310       1.025   1227     40    186       13      31      37      32      14       2       3       8       5       3       8       9      14       7       7      32      49      86      63      37 
   250    320       0.850   1158     37    197       18      28      43      20      16       2       6       6       4       1       1       9      11       7       6      29      57      81      61      36 
   250    330       0.724   1071     28    188       16      21      35      18      18       0       4       8       3       3       4       8       9       4       5      50      65     108      79      37 
   250    340       0.612   1023     36    151       10      15      30      24      14       2       4       8       6       2       3      12       6       7       5      28      64     114      83      47 
   250    350       0.517    991     28    171       13      16      32      30      14       1       2      11       4       4       5       9       9       8       1      37      57     121      78      52 
   250    360       0.443    989     22    173        4      11      31      16      13       1       1       2       5       3       3       6       6      11       5      40      51     114      96      54 
   250    370       0.374    938     23    147       19      13      26      30      10       1       7       9       4       6       1       3       6       6       1      39      55     104      58      67 
   250    380       0.320    897     18    153        7      11      26      21       9       4       6       4       9       0       7       9       8      11       2      29      60     120      85      42 
   250    390       0.279    772     23    154        3       7      22      19      12       1       4       5       6       1       1       5      11       5       3      36      44     105      70      50 
   250    400       0.238    792     22    138        8      12      17      21      13       0       1       0       4       3       4       6       7       7       6      42      42     104      60      53 
   260    140      49.360    977    190    296       88     208     251      79      33      20      40      46      17       8      21      33      33      13       5      32      41      64      21      12 
   260    150      36.800   1068    221    274       95     233     222      94      29      25      55      42      15       4      15      45      58      26       6      30      51      73      35       9 
   260    160      27.380   1282    193    307       96     192     237      80      25      17      37      43      22       9      23      39      46      15       4      38      67      98      39      20 
   260    170      21.030   1341    183    290       88     173     211      88      35      22      40      55      18       2      24      51      64      22      11      46      73     107      48       7 
   260    180      15.700   1339    176    315       55     154     200      80      31      15      28      52      13       1      17      41      54      30      13      46      87     128      61      24 
   260    190      12.400   1306    141    307       64     103     166      79      30      10      25      36      24      11      14      40      58      20      11      66      89     133      74      31 
   260    200       9.631   1369    118    273       46     102     166      66      33      14      22      34      18       6      22      34      46      14       8      55      97     144      61      35 
   260    210       7.590   1297     77    254       54      67     108      61      26      12      25      31      14      10      18      25      46      23      15      56     106     148      75      40 
   260    220       6.077   1297     76    262       34      70      92      59      31       9      23      42      12       8      17      32      52      32       8      62     110     164      79      46 
   260    230       4.879   1299     70    251       26      56     111      49      26       8      15      26      19       9      14      24      45      17      12      54     111     169     105      50 
   260    240       3.923   1216     61    257       23      43      78      47      24       8      12      26      14       7      11      25      35      26       7      63     101     183      93      43 
   260    250       3.145   1237     62    203       24      45      80      38      21      12      13      29      15       3      13      19      27      19       5      68      91     161     100      40 
   260    260       2.599   1280     62    224       24      37      69      31      17       4      15      15      10       2      10      10      23      15      11      59      91     165      98      43 
   260    270       2.113   1214     55    228       15      40      58      29      13       5       8      22      13       8      10      22      29       9      11      61      91     164     107      52 
   260    280       1.733   1197     42    255       16      23      51      29      18       3       7      12      15       3      10      15      22      11       9      38      95     156     112      41 
   260    290       1.457   1163     37    221       14      45      58      30      22       3      12       7       7       9       9      18      21      17      12      49      52     139      88      36 
   260    300       1.191   1164     44    214       13      28      40      24      15       2       5      11      13       3       5       8      12      11       7      50      68     150      88      52 
   260    310       0.996   1176     47    181       17      22      47      19       7       3       4      11       5       3       2      11      11      10       3      37      63     118      82      36 
   260    320       0.839   1244     37    227        9      24      44      27      15       1       8       9       3       3       3       3      13      10       6      33      61      91      72      41 
   260    330       0.702   1192     30    189       18      15      33      28      14       4       0       6       2       3       2      10      10       4       3      36      47      93      86      34 
   260    340       0.594   1116     25    208       11      24      34      17      13       0       1       6       6       5       5       3      12       8       4      29      50      97      69      41 
   260    350       0.504   1103     27    164        9      12      23      21       9       3       0       4       5       3       5       4       5       9       1      28      47      95      66      49 
   260    360       0.421   1043     22    165       15      10      28      22      14       1       2       5       5       1       3       8       8       4       4      34      60      97      66      40 
   260    370       0.364    941     19    173        3      10      23      13      10       2       2       5       3       1       3       6       5       5       5      33      55     119      76      42 
   260    380       0.313    913     25    153        7      12      24      16      12       0       2       4       5       2       5       6       5       6       6      37      47     107      86      34 
   260    390       0.271    874     14    145        8      16      20       9       6       3       2       3       2       0       5       6       7       5       5      32      54     109      79      53 
   260    400       0.231    853     15    135        7       8      15      13      15       1       4       4       3       3       3       2       9       4       3      32      57      99      84      37 
   270    140      48.290    938    219    257       95     221     242      68      30      27      49      41      22       6      16      48      48      22       7      23      59      54      24       5 
   270    150      35.270   1066    218    294      109     203     245      78      28      24      55      53      11      10      18      39      42      16       6      34      60      60      24      10 
   270    160      26.570   1151    220    292      104     201     207      82      31      22      39      58      14       5      22      51      51      19       6      30      71      80      29      15 
   270    170      20.020   1324    161    308       80     190     231      96      23      20      46      55      21       4      19      46      51      29       8      43      81     129      38      19 
   270    180      15.240   1380    169    313       65     176     218      88      18      20      32      43      14       4      18      32      47      21      10      39      81     141      56      24 
   270    190      12.000   1398    129    322       91     122     167      82      29      17      30      48      19       5      21      41      51      30      11      56      98     143      77      32 
   270    200       9.331   1403    135    299       56     116     141      76      36      16      28      37      12       9      20      40      53      11       9      68     100     120      76      30 
   270    210       7.341   1430    114    314       35      94     132      64      33       9      30      36      14       7      17      30      49      21       6      55      94     137      83      39 
   270    220       5.857   1279     85    253       34      63     108      53      30      11      19      24      21       5      24      42      43      27       8      62     114     178      99      58 
   270    230       4.707   1306     88    255       29      65      97      51      25      16      15      25      17      10      19      23      38      23       7      82     102     166     104      55 
   270    240       3.876   1325     83    254       29      47      82      42      21       8      20      28       9       2      10      24      41      15      12      67     128     172     105      43 
   270    250       3.090   1291     74    229       22      58      71      38      22       8      19      26      16       2      13      16      32      23      13      54      93     179     103      58 
   270    260       2.518   1266     73    241       22      42      62      37      22       7       6      19      10       6       9      23      38      13       8      50     100     191     122      31 
   270    270       2.043   1259     50    253       20      35      66      29      26      10       9      12      16       5       7      24      33      23      10      48      94     149     111      63 
   270    280       1.691   1216     48    209       15      25      63      42      26       4      12      14       6       3       4      13      26      19      14      54     109     154      82      60 
   270    290       1.396   1146     53    200       17      34      57      19      28       2      10      13       7       4      12       5      24      14       7      53      92     157      86      56 
   270    300       1.161   1172     37    203       16      24      40      24      21       0       6      11       4       1       4      13      13       6       6      38      71     144     104      49 
   270    310       0.976   1187     30    171       12      25      43      23      15       1       4      10       3       3       6       7      13      10       9      45      88     146      86      50 
   270    320       0.809   1132     39    185       15      25      48      23      14       1       2       5       4       5       6       5      23       5       6      31      65     129      96      49 
   270    330       0.692   1162     20    215       14      19      35      17       9       3       3       9       5       5       5       6      18      10       5      34      79     118      70      42 
   270    340       0.575   1150     35    207        9      24      39      18      16       2       2       8       4       2       2       3       8       7       2      30      53     113      79      34 
   270    350       0.492   1103     33    213        8      27      28      18      12       1       3       6       3       3       1       3       4       6       4      41      61      79      62      34 
   270    360       0.416   1097     20    189        9      13      26      23      14       1       3       7       3       2       1       8      10       3       5      39      57      89      68      37 
   270    370       0.357    983     30    164       12      10      28      17      11       4       3       4       5       2       4       5       7       5       0      25      51      93      64      48 
   270    380       0.306    954     14    140       11      15      19      12      14       4       4       6       2       5       0       9       8       8       7      30      46      97      78      42 
   270    390       0.262    904     24    163       10       9      19      16      15       1       2       5       2       1       4       5      12       3       4      22      57      96      78      50 
