m0_binning   50  10  500  10
m12_binning  26  100  350  10
NscanPoints  1300
    m0    m12      Xsec     nsel    n_a    n_d     sb     slsb     slsig
    60    230       7.458    224     14     36     89     46     80
    60    240       5.843    253     21     29    100     22     76
    60    250       4.654    302     10     44     86     28     82
    60    260       3.748    255     18     30     80     35    104
    60    270       3.036    268     21     36     79     39    102
    60    280       2.457    294     22     34     87     31    129
    60    290       2.001    278     10     37     76     47    125
    60    300       1.663    323     15     46     91     30    133
    60    310       1.372    330     17     44     76     34    129
    60    320       1.135    354     14     50     74     43    148
    60    330       0.949    317     10     44     64     43    172
    60    340       0.795    311      9     50     52     30    162
    60    350       0.672    288     15     42     45     44    168
    70    100    8951.000      0      2      1      4      0      0
    70    110    3300.000      4      0      1      5      1      1
    70    120     279.400     35      7      8     53     14      4
    70    130     156.900     59     17     18     60     24     12
    70    140     101.600     82     12     11     64     24     18
    70    150      70.680     70     14     17     82     36     19
    70    160      50.610     87     18     22     94     30     31
    70    170      36.870    100     13     23     76     37     51
    70    180      27.240    146     17     22     93     43     45
    70    190      20.350    128     12     23     98     39     43
    70    200      15.660    172     18     25     90     37     54
    70    210      11.990    202     15     34    101     34     63
    70    220       9.381    216     17     21     98     33     66
    70    230       7.340    241     21     29     93     35     80
    70    240       5.890    224     17     36    101     39     87
    70    250       4.587    241      9     39     84     26     91
    70    260       3.690    292     14     40    101     28     99
    70    270       2.950    287     15     43     90     36    116
    70    280       2.468    297     26     41     94     33    102
    70    290       1.969    278     17     50     65     38    116
    70    300       1.645    375     24     44    113     42    114
    70    310       1.359    376     22     54     98     38    156
    70    320       1.116    361     17     50     98     36    131
    70    330       0.939    349     17     67     55     30    178
    70    340       0.779    319     20     55     54     23    148
    70    350       0.661    321     19     34     52     36    179
    80    100    8796.000      2      0      1      3      2      0
    80    110    3135.000      3      3      2      5      0      1
    80    120     270.300     42      9      8     45      9      8
    80    130     152.100     62     14     10     66     31     15
    80    140     100.000     75     17     12     70     27     16
    80    150      68.570     81     20     16     81     29     23
    80    160      49.280    118     19     22     87     44     21
    80    170      36.540    129     16     25     96     40     37
    80    180      26.600    138     18     22     83     44     58
    80    190      20.140    128     16     17     93     35     70
    80    200      15.360    157     19     22     79     43     59
    80    210      11.850    173     17     29     93     35     71
    80    220       9.228    216     21     33    106     31     57
    80    230       7.190    237     22     29     92     44     61
    80    240       5.725    209     11     33     97     38     75
    80    250       4.554    237     20     34     76     46     87
    80    260       3.669    264     24     40     81     51     86
    80    270       2.935    287     23     52     84     39    101
    80    280       2.414    315     21     60     96     25     91
    80    290       1.949    321     20     44     94     37    101
    80    300       1.601    394     27     61    103     48    126
    80    310       1.328    401     37     59    113     41    133
    80    320       1.112    411     25     71     89     40    147
    80    330       0.930    388     27     59     86     40    170
    80    340       0.779    355     13     66     77     42    168
    80    350       0.653    319     17     47     69     40    170
    90    100    8663.000      0      1      0      4      1      1
    90    110    2962.000      4      1      1      5      4      0
    90    120     260.400     38     12      6     35      8      6
    90    130     148.900     51     19     11     73     12     10
    90    140      97.930     75     20     20     75     23     20
    90    150      67.580     90     17     19     76     30     21
    90    160      48.330     97     18      9    103     29     25
    90    170      35.730    118     23     20    107     37     34
    90    180      26.480    132     25     25     94     43     48
    90    190      20.160    144     16     25     74     47     56
    90    200      15.130    178     21     19     86     56     55
    90    210      11.660    194     21     24     85     55     70
    90    220       9.205    220     20     27     77     37     68
    90    230       7.210    210     17     26     89     39     91
    90    240       5.613    235     21     36     91     34     90
    90    250       4.521    232     22     35    113     30     89
    90    260       3.624    270     20     39    101     36     87
    90    270       2.919    246     24     31     89     46     86
    90    280       2.378    268     26     37     94     53     95
    90    290       1.942    290     22     49    103     51    122
    90    300       1.592    391     37     62    145     46    121
    90    310       1.326    432     26     97    139     40     99
    90    320       1.090    443     36     74    109     34    124
    90    330       0.920    438     23     81    123     25    139
    90    340       0.758    410     23     76     93     35    165
    90    350       0.645    387     18     59     73     37    136
   100    100    8327.000      1      1      1      3      0      0
   100    110    2775.000      3      3      0     12      3      1
   100    120     251.800     38     16      8     60      7     10
   100    130     145.200     64     18     10     64     19     13
   100    140      95.300     84     20     10     88     26     15
   100    150      65.560     95     21     20     94     26     25
   100    160      47.310    110     18     16     97     39     38
   100    170      35.140    123     21     21    109     45     32
   100    180      25.790    165     25     19    114     35     51
   100    190      19.360    142     25     25     84     38     56
   100    200      14.950    179     17     26     87     44     90
   100    210      11.530    181     18     33    100     46     78
   100    220       8.785    221     19     36    105     41     81
   100    230       7.024    205     16     27    107     45     96
   100    240       5.541    217     21     30     84     40    106
   100    250       4.442    277     11     37     92     46     95
   100    260       3.568    258     20     36    103     43     94
   100    270       2.902    267     24     42    101     46     84
   100    280       2.325    260     22     46    107     41    122
   100    290       1.923    302     25     44     93     36    115
   100    300       1.562    409     38     73    135     52    144
   100    310       1.290    465     42    102    141     58    125
   100    320       1.091    466     40     91    137     31    113
   100    330       0.893    527     31     83    132     37    134
   100    340       0.749    481     32     84    118     28    140
   100    350       0.640    453     23     75     99     24    141
   110    100    8063.000      2      0      0      1      1      0
   110    110    2545.000      6      4      1      4      6      0
   110    120     242.700     40     14      8     71     13     10
   110    130     140.400     83     26     16     97     21      8
   110    140      91.750    103     16     18    102     18     23
   110    150      64.470     90     18     20    100     39     27
   110    160      45.960    143     19     27    118     27     30
   110    170      34.100    156     22     18    110     47     40
   110    180      25.070    179     24     16    111     32     43
   110    190      19.260    172     31     25     93     43     74
   110    200      14.610    197     24     31     90     45     66
   110    210      11.310    173     11     26     69     64     78
   110    220       8.895    224     15     33    109     36     93
   110    230       6.951    233     21     24     81     44     93
   110    240       5.435    228     25     42     81     38     94
   110    250       4.408    218     20     37    108     38     81
   110    260       3.531    253     19     36     88     50     91
   110    270       2.839    295     25     47    112     52     93
   110    280       2.313    282     23     38     90     53     95
   110    290       1.882    240     25     57    117     43    107
   110    300       1.560    460     46     95    163     48    124
   110    310       1.287    504     36    106    135     41    131
   110    320       1.064    469     45     95    144     40    138
   110    330       0.881    513     34     93    143     40    141
   110    340       0.741    461     45    103    141     37    121
   110    350       0.634    491     21     95    119     31    129
   120    100    7940.000      0      0      1      3      0      1
   120    110    2340.000      3      1      1      7      0      1
   120    120     231.200     47     19     18     76     21     11
   120    130     136.300     73     26     12     78     26     14
   120    140      89.710     94     21     14     84     27     17
   120    150      62.600    109     17     24    124     21     18
   120    160      45.020    166     23     24    100     30     30
   120    170      33.040    182     20     18     99     33     45
   120    180      24.940    171     34     21    127     41     37
   120    190      18.750    197     33     24    104     38     57
   120    200      14.400    212     23     31    116     33     61
   120    210      11.000    208     29     30    117     50     74
   120    220       8.572    270     31     38    129     50     78
   120    230       6.709    239     22     43     99     44    111
   120    240       5.390    273     20     37     88     46    117
   120    250       4.315    248     26     44     91     59     91
   120    260       3.433    259     19     32     84     40     94
   120    270       2.836    234     31     46    112     31    111
   120    280       2.285    260     23     46     91     52    112
   120    290       1.870    292     24     38     98     45     96
   120    300       1.533    451     45     85    155     40    136
   120    310       1.272    472     41    110    145     47    126
   120    320       1.045    459     34     87    148     38    123
   120    330       0.875    494     39    106    135     40    151
   120    340       0.734    536     48    106    138     42    113
   120    350       0.616    550     40    114    142     45    140
   130    100    7545.000      1      0      0      5      2      1
   130    110    2061.000      5      2      1     16      1      1
   130    120     222.900     53     19     18     89     18      5
   130    130     131.400    100     28     19    102     27     16
   130    140      87.570    110     24     21    115     25     20
   130    150      60.460    133     41     26    114     33     26
   130    160      44.430    155     27     25    116     38     26
   130    170      32.560    124     38     29    145     36     39
   130    180      24.330    204     35     33    110     47     41
   130    190      18.290    202     26     25    124     33     65
   130    200      14.030    218     28     32    113     39     65
   130    210      10.810    251     28     34    122     44     59
   130    220       8.504    246     26     33    141     53     81
   130    230       6.720    258     25     43    118     56     77
   130    240       5.306    279     19     26    106     76    129
   130    250       4.234    261     24     36     93     57    105
   130    260       3.420    249     15     40     97     61    103
   130    270       2.760    256     21     65    107     48    130
   130    280       2.235    259     23     36     96     41    131
   130    290       1.831    286     30     43    104     36    125
   130    300       1.516    448     53     89    151     66    137
   130    310       1.249    509     51    111    181     37    125
   130    320       1.030    552     63    112    159     41    150
   130    330       0.867    554     47    116    137     40    139
   130    340       0.721    508     49    120    115     44    135
   130    350       0.613    573     40     91    132     24    145
   140    100    7348.000      2      2      0      7      0      1
   140    110    1776.000      7      4      4     19      6      0
   140    120     210.600     69     32     12    101     27     11
   140    130     126.900     92     25     15    123     27     13
   140    140      84.650    151     28     24    128     29     28
   140    150      58.950    128     37     24    137     21     20
   140    160      43.090    151     37     31    130     39     32
   140    170      31.630    174     28     41    151     39     26
   140    180      23.760    194     32     23    147     25     43
   140    190      18.120    223     32     39    144     45     47
   140    200      13.750    226     27     34    128     53     55
   140    210      10.630    248     27     47    123     54     73
   140    220       8.274    278     32     29    118     63     82
   140    230       6.528    292     24     49    140     41     95
   140    240       5.155    285     38     54    151     58    102
   140    250       4.148    271     30     50    106     66    124
   140    260       3.344    287     26     53    109     56    117
   140    270       2.709    252     25     48    101     58    110
   140    280       2.218    298     18     61    119     42    120
   140    290       1.794    293     28     48    105     57    128
   140    300       1.503    520     38    105    167     56    107
   140    310       1.226    523     50    109    163     54    138
   140    320       1.029    574     39    110    143     55    149
   140    330       0.864    547     40    113    143     46    137
   140    340       0.720    585     46    115    141     51    149
   140    350       0.610    575     43    135    131     49    139
   150    100    6950.000      3      2      2      6      5      0
   150    110    1435.000     11      7      6     18      2      2
   150    120     205.400     66     33     22    139     27     10
   150    130     122.300     97     48     23    120     33     16
   150    140      82.430    122     30     30    134     27     13
   150    150      57.620    166     39     29    164     37     36
   150    160      41.470    178     41     34    170     41     33
   150    170      30.880    176     34     38    145     37     27
   150    180      23.250    209     32     34    144     51     47
   150    190      17.500    229     41     42    160     34     52
   150    200      13.490    226     40     33    132     45     57
   150    210      10.370    240     31     45    145     57     77
   150    220       8.142    292     40     58    143     54     68
   150    230       6.437    307     42     51    130     56     83
   150    240       5.146    283     38     60    153     45    100
   150    250       4.101    332     41     58    161     61     85
   150    260       3.288    243     22     41     83     60    126
   150    270       2.668    304     33     49    113     58    129
   150    280       2.171    315     27     54     97     58    138
   150    290       1.783    324     32     41    103     48    117
   150    300       1.474    534     58    130    194     67    129
   150    310       1.211    541     54    137    196     56    146
   150    320       1.016    593     43    124    187     39    135
   150    330       0.838    556     44    116    164     44    132
   150    340       0.700    576     50    113    185     38    150
   150    350       0.594    593     47    128    144     40    136
   160    100    6605.000      4      2      1      4      0      0
   160    110    1047.000     18      8      5     33      4      3
   160    120     194.900     84     32     17    130     29      9
   160    130     117.900    122     50     31    153     27     22
   160    140      78.900    125     39     26    173     33     30
   160    150      55.650    152     43     46    179     40     29
   160    160      39.830    167     44     34    179     37     36
   160    170      29.970    202     45     49    166     54     32
   160    180      22.220    220     43     41    154     48     43
   160    190      17.100    224     40     54    158     37     58
   160    200      13.050    224     37     39    136     43     56
   160    210      10.300    261     33     43    134     47     74
   160    220       8.025    284     30     48    141     66     70
   160    230       6.330    333     22     62    165     54     93
   160    240       5.034    347     27     62    160     52     94
   160    250       4.024    321     44     66    142     58     87
   160    260       3.260    365     34     69    153     56     92
   160    270       2.632    395     47     77    142     44    111
   160    280       2.121    341     38     57    130     62    141
   160    290       1.758    338     27     58    106     47    116
   160    300       1.455    545     54    114    197     52    132
   160    310       1.202    556     65    118    188     54    135
   160    320       0.991    545     50    135    171     52    142
   160    330       0.829    576     46    121    175     45    147
   160    340       0.697    597     51    149    166     39    144
   160    350       0.586    572     43    135    136     50    133
   170    100    6061.000      2      1      2      6      0      2
   170    110     723.000     22     11      5     38     11      5
   170    120     186.000     94     38     21    134     21     10
   170    130     113.700    129     60     38    172     25     16
   170    140      76.940    136     56     38    198     52     24
   170    150      53.690    183     60     41    195     45     29
   170    160      39.200    205     53     44    197     43     59
   170    170      29.050    218     43     50    166     44     37
   170    180      21.780    249     49     37    187     47     48
   170    190      16.820    247     45     50    159     49     51
   170    200      12.750    272     28     41    137     40     55
   170    210       9.982    271     36     60    191     47     62
   170    220       7.814    301     43     41    134     45     86
   170    230       6.196    322     41     58    179     47     81
   170    240       4.935    340     40     56    152     51     88
   170    250       3.947    328     47     70    152     53     97
   170    260       3.188    360     47     75    144     42     87
   170    270       2.589    408     46     73    135     48     78
   170    280       2.084    407     39     77    165     47    112
   170    290       1.711    428     41     92    122     51    104
   170    300       1.417    570     55    133    211     75    128
   170    310       1.183    601     54    160    189     47    150
   170    320       0.983    596     42    135    201     58    123
   170    330       0.813    625     53    149    192     44    157
   170    340       0.683    561     67    151    158     38    141
   170    350       0.571    623     40    141    180     46    147
   180    100    5553.000      1      1      4      6      1      3
   180    110     542.800     18     16      9     48     10      7
   180    120     175.900     83     47     17    144     31     22
   180    130     110.500    124     56     28    199     32     22
   180    140      73.640    148     57     40    208     55     21
   180    150      51.620    199     68     42    218     45     30
   180    160      38.050    217     50     51    220     42     33
   180    170      28.310    252     42     50    221     47     47
   180    180      21.080    272     52     48    181     47     38
   180    190      16.220    288     52     52    174     43     57
   180    200      12.420    289     44     57    168     41     58
   180    210       9.718    322     45     43    161     48     73
   180    220       7.529    333     38     76    160     53     82
   180    230       6.044    310     36     52    169     62     79
   180    240       4.791    362     46     68    150     42    117
   180    250       3.899    362     41     70    156     60    111
   180    260       3.103    395     39     77    157     36    101
   180    270       2.518    406     42     80    184     44     88
   180    280       2.065    441     40     92    137     48    104
   180    290       1.681    419     48     77    173     37    132
   180    300       1.380    612     82    146    216     58    129
   180    310       1.146    640     63    157    206     43    136
   180    320       0.956    644     54    149    187     54    163
   180    330       0.802    610     55    138    205     53    145
   180    340       0.677    632     41    135    155     53    157
   180    350       0.567    681     43    129    152     41    172
   190    100    4983.000      0      1      1      2      2      0
   190    110     443.300     43     23     17     77     11      8
   190    120     168.700     90     46     32    153     40     13
   190    130     105.500    130     55     47    188     46     15
   190    140      71.930    165     64     44    238     61     25
   190    150      50.400    193     61     36    248     62     38
   190    160      37.000    214     69     52    250     46     50
   190    170      27.320    296     49     42    237     57     57
   190    180      20.510    266     61     45    233     57     50
   190    190      16.020    304     51     65    217     60     63
   190    200      12.200    314     54     51    188     62     71
   190    210       9.446    299     41     61    173     51     71
   190    220       7.443    352     42     53    183     68     84
   190    230       5.866    365     33     56    178     62     80
   190    240       4.727    371     25     62    195     52     94
   190    250       3.772    376     44     79    179     52     84
   190    260       3.050    383     44     66    149     52    104
   190    270       2.469    460     51     82    155     49     97
   190    280       2.014    408     46     78    149     64    107
   190    290       1.646    436     46     85    157     39    111
   190    300       1.357    622     81    131    249     44    125
   190    310       1.121    658     64    135    210     46    136
   190    320       0.942    609     53    145    195     48    148
   190    330       0.787    654     50    131    203     47    166
   190    340       0.661    662     63    144    190     47    144
   190    350       0.561    640     42    140    168     54    157
   200    100    4427.000      1      2      0      4      1      0
   200    110     378.000     41     28     18     93     18      6
   200    120     161.700     92     47     32    151     25     22
   200    130     100.600    122     62     28    201     36     22
   200    140      69.070    173     57     53    224     46     23
   200    150      48.700    191     61     54    267     51     41
   200    160      35.580    253     69     61    286     70     56
   200    170      26.640    285     63     63    253     59     46
   200    180      19.970    327     59     47    247     47     68
   200    190      15.440    304     61     51    219     56     70
   200    200      11.820    328     44     64    189     62     79
   200    210       9.253    356     51     50    200     50     74
   200    220       7.306    374     49     59    187     54     86
   200    230       5.768    387     42     68    178     61     92
   200    240       4.592    394     49     73    188     47    117
   200    250       3.752    375     44     80    170     55     96
   200    260       3.007    381     59     69    170     56    110
   200    270       2.412    419     50     86    149     48    110
   200    280       1.973    411     43     78    168     48    104
   200    290       1.633    439     39     85    149     53    112
   200    300       1.335    583     61    142    218     53    149
   200    310       1.103    659     74    158    195     62    138
   200    320       0.925    668     55    140    216     55    176
   200    330       0.780    653     54    154    192     55    148
   200    340       0.656    699     52    136    164     45    165
   200    350       0.545    662     46    147    184     40    167
   210    100    3984.000      2      0      0      2      0      0
   210    110     340.400     20     16      4     37      5      0
   210    120     154.100     90     51     29    178     33     12
   210    130      97.190    123     66     34    196     54     15
   210    140      66.670    192     65     52    261     63     31
   210    150      46.820    231     76     49    271     54     31
   210    160      34.390    262     69     50    260     53     53
   210    170      25.870    320    103     62    277     43     60
   210    180      19.580    283     62     69    245     75     80
   210    190      14.940    361     64     61    236     65     73
   210    200      11.510    358     57     66    205     63     84
   210    210       9.061    359     41     69    218     67     81
   210    220       7.101    377     57     64    221     49    107
   210    230       5.643    371     63     77    183     69     92
   210    240       4.491    395     49     81    207     52     94
   210    250       3.608    375     57     87    203     49    116
   210    260       2.935    380     58     80    200     69    120
   210    270       2.357    433     51     97    144     60    123
   210    280       1.970    467     43     82    170     40    117
   210    290       1.591    452     40     91    162     49    107
   210    300       1.302    638     58    144    209     48    146
   210    310       1.105    620     81    142    194     68    130
   210    320       0.914    654     64    129    194     43    148
   210    330       0.762    649     55    149    212     44    135
   210    340       0.640    700     57    140    202     55    159
   210    350       0.542    660     42    153    153     52    180
   220    100    3683.000      0      2      1      4      0      1
   220    110     308.800     17     14      4     34     14      1
   220    120     146.900    110     74     29    190     19     21
   220    130      93.330    123     64     53    211     34     20
   220    140      63.560    170     87     45    280     52     42
   220    150      45.210    234     97     52    281     50     47
   220    160      33.660    251     80     57    271     75     34
   220    170      24.880    303     94     75    309     70     68
   220    180      18.810    325     76     73    286     60     67
   220    190      14.490    395     66     62    264     58     80
   220    200      11.250    384     74     74    251     69     71
   220    210       8.676    408     61     87    206     64    102
   220    220       6.959    395     58     72    196     74    114
   220    230       5.509    428     67     87    181     64     95
   220    240       4.434    443     53     74    195     51    117
   220    250       3.555    411     57     95    183     52    113
   220    260       2.866    460     53     74    191     51    119
   220    270       2.341    438     59    102    198     60    106
   220    280       1.899    431     60     85    159     57    112
   220    290       1.557    407     34     84    163     66    128
   220    300       1.313    627     62    146    265     66    140
   220    310       1.083    665     61    151    230     69    178
   220    320       0.902    687     62    166    219     62    162
   220    330       0.748    672     62    143    199     53    167
   220    340       0.636    725     61    151    216     41    172
   220    350       0.529    686     42    166    159     52    138
   230    100    3401.000      1      0      1      0      1      0
   230    110     279.300     15     10      7     33      5      2
   230    120     140.400     38     25     17     96     11      6
   230    130      89.670    145     84     32    236     40     25
   230    140      61.230    176     86     56    250     54     39
   230    150      43.540    215     83     52    304     61     56
   230    160      32.570    250     81     65    292     60     38
   230    170      23.970    298     78     73    313     67     63
   230    180      18.300    341    103     67    307     92     78
   230    190      14.090    359     79     77    314     83     84
   230    200      10.910    401     71     80    274     84     96
   230    210       8.562    391     69     74    222     57    104
   230    220       6.795    458     74     88    228     56    101
   230    230       5.377    409     55     93    253     62     98
   230    240       4.323    445     51     80    211     59    123
   230    250       3.428    377     80     81    218     64    109
   230    260       2.836    449     61     80    187     62    126
   230    270       2.281    441     54     90    204     49    129
   230    280       1.870    439     49     98    156     64    122
   230    290       1.532    446     34    100    159     53    119
   230    300       1.289    637     68    161    223     48    165
   230    310       1.054    640     54    150    217     62    178
   230    320       0.874    674     53    137    212     50    166
   230    330       0.743    652     54    132    195     45    156
   230    340       0.617    692     48    151    199     40    162
   230    350       0.524    718     45    144    182     54    164
   240    100    3151.000      2      0      0      2      1      0
   240    110     259.100     17     14      6     42      6      2
   240    120     134.300     43     27     20     73     21      7
   240    130      85.560    129     78     31    254     60     29
   240    140      58.860    170     81     61    251     53     37
   240    150      42.800    173     72     55    289     77     48
   240    160      31.230    288     95     74    303     67     36
   240    170      22.930    307     73     62    317     88     72
   240    180      17.590    356     85     77    285     83     73
   240    190      13.540    401     68    100    310     97     76
   240    200      10.660    400     77     96    266     71    104
   240    210       8.397    463     67     80    266     66    109
   240    220       6.608    433     76     88    235     70    112
   240    230       5.207    470     60     92    252     77    106
   240    240       4.132    478     52     85    225     79    146
   240    250       3.395    450     70    122    216     65    100
   240    260       2.742    453     67    103    202     71    137
   240    270       2.237    458     61    100    198     70    116
   240    280       1.836    471     48    115    162     64    137
   240    290       1.515    478     49     95    131     51    149
   240    300       1.247    656     54    171    229     72    149
   240    310       1.039    669     54    149    229     55    185
   240    320       0.865    694     60    156    205     48    205
   240    330       0.719    664     54    137    210     55    179
   240    340       0.605    705     55    156    172     47    175
   240    350       0.518    690     49    157    180     61    156
   250    100    2834.000      2      2      1      0      1      0
   250    110     239.900     18     17      2     46      8      1
   250    120     127.300     53     26     16     80     15      7
   250    130      82.990     58     51     28    124     19      6
   250    140      57.000    174     94     48    271     78     32
   250    150      40.720    220     84     51    261     74     49
   250    160      29.760    261     99     69    317     67     59
   250    170      22.660    307     98     79    330     73     56
   250    180      17.120    389     76     74    307     71     76
   250    190      13.150    432     93     89    339     68     81
   250    200      10.340    436     71     83    300     79     99
   250    210       8.087    489     77     92    293     73    116
   250    220       6.492    477     76     87    292     77    127
   250    230       5.079    456     64    104    255     64    137
   250    240       4.087    496     70     90    236     71    132
   250    250       3.325    491     54    101    222     66    114
   250    260       2.688    507     53     93    193     71    144
   250    270       2.218    478     48     82    183     64    144
   250    280       1.795    461     52     93    170     50    142
   250    290       1.487    508     41     81    162     63    145
   250    300       1.228    683     78    176    235     75    165
   250    310       1.014    656     70    155    230     56    186
   250    320       0.852    679     58    173    203     62    172
   250    330       0.706    707     54    153    195     51    172
   250    340       0.592    696     56    160    185     43    210
   250    350       0.505    676     43    159    163     47    177
   260    100    2539.000      3      2      0      5      0      0
   260    110     224.500     18     14      9     37      7      0
   260    120     121.900     37     41     12     77     17      8
   260    130      79.580     60     44     16    142     18     10
   260    140      54.650    161    107     60    293     74     43
   260    150      39.220    222     93     65    336     76     55
   260    160      29.260    263     88     68    318     95     55
