m0_binning   41  200  600  10
m12_binning  27  140  400  10
NscanPoints  1107
    m0    m12      Xsec     nsel    n_a    n_d     sb     slsb     slsig
   240    390       0.287    368     18     53     71     25    165
   240    400       0.249    362     18     49     58     27    167
   250    140      51.640    257    111     73    428     72     52
   250    150      37.970    330    111     84    440     69     56
   250    160      28.590    440    124     91    451     86     79
   250    170      21.310    440    121     78    407    102     97
   250    180      16.390    464    104     90    379    133    118
   250    190      12.690    521     82     86    346     98    129
   250    200       9.887    540     69     99    341    129    166
   250    210       7.798    516     55     82    314    118    185
   250    220       6.188    582     59     88    281    102    190
   250    230       5.003    553     48     88    225    103    216
   250    240       4.004    548     44     85    223     92    219
   250    250       3.247    622     53     92    202     85    231
   250    260       2.653    582     50     81    211     74    199
   250    270       2.158    599     36     92    154     78    233
   250    280       1.772    605     42     81    143     65    186
   250    290       1.485    644     33     78    138     65    187
   250    300       1.218    624     30     89    146     37    160
   250    310       1.025    612     28     88    112     38    143
   250    320       0.850    606     44     72    134     41    147
   250    330       0.724    539     30     75    108     44    183
   250    340       0.612    515     22     66     96     36    192
   250    350       0.517    498     25     66    106     30    196
   250    360       0.443    484     12     81     85     38    191
   250    370       0.374    452     14     62     84     28    151
   250    380       0.320    418     26     68     72     38    196
   250    390       0.279    395     18     62     60     26    164
   250    400       0.238    397     15     58     67     21    142
   260    140      49.360    290    120     91    452     68     46
   260    150      36.800    355    117     79    448     99     65
   260    160      27.380    429    138     87    478    124     80
   260    170      21.030    486    109     90    476    114     98
   260    180      15.700    500    105    109    408    117    136
   260    190      12.400    526    103     88    343    124    158
   260    200       9.631    542     80    102    335    115    173
   260    210       7.590    554     62     81    297    116    203
   260    220       6.077    579     70     91    267    110    228
   260    230       4.879    600     55     80    282    113    228
   260    240       3.923    570     56     90    227     93    215
   260    250       3.145    575     46     81    210     98    215
   260    260       2.599    603     39     90    215     72    241
   260    270       2.113    567     45     94    160     67    254
   260    280       1.733    585     48     92    153     67    223
   260    290       1.457    574     27    103    152     66    171
   260    300       1.191    579     35     86    145     55    230
   260    310       0.996    613     27     83    122     44    199
   260    320       0.839    639     31     94    121     37    150
   260    330       0.702    606     31     77    115     34    165
   260    340       0.594    560     25     92     92     35    154
   260    350       0.504    561     26     62     92     37    148
   260    360       0.421    515     27     72    100     34    173
   260    370       0.364    475     24     68     76     28    174
   260    380       0.313    492     15     66     79     39    164
   260    390       0.271    437     13     64     68     28    177
   260    400       0.231    411     11     59     72     17    173
   270    140      48.290    280    128     80    458     71     48
   270    150      35.270    331    141     85    437     76     59
   270    160      26.570    393    121     74    484    100     73
   270    170      20.020    483    124     91    506    124     93
   270    180      15.240    525    113    105    428    107    127
   270    190      12.000    546     94    115    415    140    146
   270    200       9.331    569     95     93    362    113    173
   270    210       7.341    605     94    111    325    105    173
   270    220       5.857    593     77     78    296    124    238
   270    230       4.707    598     74     75    290    104    230
   270    240       3.876    651     66     85    198    107    279
   270    250       3.090    602     48     96    221     98    227
   270    260       2.518    611     44     87    180     90    261
   270    270       2.043    606     49     99    187     98    215
   270    280       1.691    596     36     87    181     68    247
   270    290       1.396    554     41     85    152     71    236
   270    300       1.161    581     27     86    141     59    219
   270    310       0.976    592     35     67    138     60    230
   270    320       0.809    567     34     67    111     43    210
   270    330       0.692    641     32     90     92     31    191
   270    340       0.575    621     22    100    109     22    197
   270    350       0.492    587     33    103    100     27    158
   270    360       0.416    561     23     99     95     35    150
   270    370       0.357    526     22     77     89     25    163
   270    380       0.306    507     12     63     82     32    156
   270    390       0.262    463     16     73     67     31    165
   270    400       0.227    385     19     54     72     23    160
   280    140      46.640    296    119     82    431     65     42
   280    150      34.400    343    162     86    449     90     65
   280    160      25.550    423    126     89    503    118     81
   280    170      19.490    493    115    101    524    117    103
   280    180      14.960    508    128     94    463    126    116
   280    190      11.580    560     89    122    420    131    147
   280    200       9.085    587     93    114    402    127    157
   280    210       7.192    584     91    103    400    113    168
   280    220       5.774    607     87     91    311    127    198
   280    230       4.612    663     70     93    236    133    229
   280    240       3.677    603     59    114    277    120    266
   280    250       3.041    601     58     99    227     94    262
   280    260       2.460    634     50     85    221     93    225
   280    270       2.033    607     45     81    190     89    267
   280    280       1.674    562     40     92    181     93    251
   280    290       1.378    619     38     83    138     67    242
   280    300       1.132    577     36     83    154     62    236
   280    310       0.951    538     25     82    155     59    228
   280    320       0.803    595     32     79    122     64    263
   280    330       0.675    590     29     80    110     41    224
   280    340       0.568    576     25     81    100     47    180
   280    350       0.478    547     26     82    116     34    188
   280    360       0.412    622     29     87     84     37    179
   280    370       0.346    529     17     80     87     31    145
   280    380       0.296    541     22     78     86     28    144
   280    390       0.254    503     20     61     85     23    160
   280    400       0.219    482     18     77     83     22    145
   290    140      45.330    255    109     88    394     80     48
   290    150      33.020    328    128    101    468     81     61
   290    160      24.730    363    139     99    491    106     84
   290    170      18.660    473    127    117    505    120    106
   290    180      14.410    534    124    110    499    122    145
   290    190      11.270    593    131    107    452    142    131
   290    200       8.797    607    110    110    436    129    180
   290    210       6.950    613    134    104    360    114    166
   290    220       5.520    614     91     97    339    112    187
   290    230       4.527    630     75    129    309    115    218
   290    240       3.617    671     58    102    225    121    253
   290    250       2.965    618     60     79    223    101    235
   290    260       2.393    619     37     97    215    103    260
   290    270       1.972    582     51     88    182     81    236
   290    280       1.627    600     42     85    179     88    287
   290    290       1.352    588     42     84    158     76    280
   290    300       1.115    596     45     79    133     81    262
   290    310       0.922    589     37    103    124     62    265
   290    320       0.783    611     23     87    129     56    247
   290    330       0.651    595     26     78    110     57    224
   290    340       0.550    537     22     80     89     39    226
   290    350       0.471    553     29     77    102     42    210
   290    360       0.400    535     24     80     93     38    199
   290    370       0.342    552     27     71     75     40    175
   290    380       0.293    542     14     67     82     37    177
   290    390       0.251    552     10     75     74     25    162
   290    400       0.215    516     13     71     59     19    157
   300    140      43.190    271    113     92    444     83     61
   300    150      31.890    351    137     81    511     99     57
   300    160      23.650    408    137    130    526    111     69
   300    170      18.370    475    141    110    511    122    101
   300    180      14.060    531    137    113    498    141    109
   300    190      10.880    613    126    119    492    129    127
   300    200       8.570    652    131    132    445    148    178
   300    210       6.787    621     98    122    431    144    168
   300    220       5.412    652     88    112    415    113    199
   300    230       4.357    635     84    122    313    108    189
   300    240       3.522    624     82    105    307     89    213
   300    250       2.872    715     61    113    240     92    258
   300    260       2.337    596     61    114    246     92    271
   300    270       1.917    626     43    101    205     92    245
   300    280       1.586    604     44     84    208     69    280
   300    290       1.311    627     43     92    157     69    257
   300    300       1.082    587     35     85    148     85    269
   300    310       0.916    572     28     92    114     76    247
   300    320       0.761    570     26     78    111     71    223
   300    330       0.643    566     28     81    110     52    248
   300    340       0.542    527     24     79    108     43    246
   300    350       0.459    565     20     81     91     45    240
   300    360       0.391    513     19     65     80     49    201
   300    370       0.335    513     22     79     83     40    205
   300    380       0.285    555     18     75     82     28    222
   300    390       0.246    519     20     74     60     25    156
   300    400       0.211    520     21     66     52     19    155
   310    140      41.920    269    118     64    451     73     44
   310    150      30.680    345    119    100    479    102     56
   310    160      22.920    429    150    114    544    109     77
   310    170      17.510    464    128    106    497    120     84
   310    180      13.530    486    144    112    510    117    118
   310    190      10.680    599    133    123    503    128    149
   310    200       8.364    666    133    144    468    125    162
   310    210       6.632    643    119    119    443    116    165
   310    220       5.240    701    121    120    445    124    162
   310    230       4.245    667     84    138    332    107    187
   310    240       3.401    647     79    130    269    119    224
   310    250       2.792    621     80    136    281    125    197
   310    260       2.292    620     66    107    211     97    243
   310    270       1.884    614     58    104    191    102    235
   310    280       1.558    644     38    106    192     95    262
   310    290       1.274    623     44     84    162     85    307
   310    300       1.059    638     36     97    147     71    276
   310    310       0.891    580     32     98    115     65    285
   310    320       0.742    571     23     96    116     49    253
   310    330       0.629    602     22     94    113     56    249
   310    340       0.534    567     17     70    124     57    269
   310    350       0.452    553     17     80     99     51    251
   310    360       0.382    488     23     76    100     39    231
   310    370       0.326    506     16     70     81     42    202
   310    380       0.283    507     20     82     77     30    229
   310    390       0.241    527     14     67     64     20    191
   310    400       0.207    492     20     75     75     32    196
   320    140      40.450    297    121     84    399     91     45
   320    150      29.710    351     98    105    443     97     79
   320    160      22.070    408    127    102    486    130     69
   320    170      16.980    487    136    116    486    114     97
   320    180      13.220    514    151    126    520    147    128
   320    190      10.220    599    134    125    520    155    121
   320    200       8.005    597    119    118    492    151    164
   320    210       6.435    667    129    124    442    130    174
   320    220       5.084    649    127    141    397    105    172
   320    230       4.096    664    110    129    356    120    221
   320    240       3.345    730     86    126    332    105    201
   320    250       2.752    682     79    115    287    128    207
   320    260       2.229    697     70    138    277     96    219
   320    270       1.844    601     63    122    286     89    243
   320    280       1.503    622     47    100    206     82    276
   320    290       1.254    652     41    103    171     83    251
   320    300       1.046    638     40     91    152     84    272
   320    310       0.883    617     24     78    144     85    283
   320    320       0.737    580     35     75    122     68    275
   320    330       0.611    575     23    110    134     61    296
   320    340       0.522    584     32     82    110     59    253
   320    350       0.441    550     26     93     97     44    224
   320    360       0.378    524     22     80     95     43    241
   320    370       0.320    552     17     73     93     39    238
   320    380       0.273    522     20     68     73     41    217
   320    390       0.238    489     20     79     80     31    209
   320    400       0.203    479     23     83     75     32    222
   330    140      38.820    325    119     66    403     84     40
   330    150      28.730    349    125     82    470     84     72
   330    160      21.450    398    137    105    514    116     93
   330    170      16.500    461    150    106    539    124    104
   330    180      12.850    546    135    116    516    165    126
   330    190       9.974    601    150    158    555    141    142
   330    200       7.820    622    117    145    518    142    162
   330    210       6.235    714    123    124    512    152    195
   330    220       4.977    725    123    146    433    127    203
   330    230       4.011    747    106    128    355    141    201
   330    240       3.287    760     89    136    336    121    216
   330    250       2.631    674     87    149    349    106    196
   330    260       2.189    656     75    131    290    107    237
   330    270       1.798    674     95    137    289    114    199
   330    280       1.495    686     61    115    230     95    270
   330    290       1.230    669     43    120    203     68    250
   330    300       1.023    626     50     99    164     79    283
   330    310       0.852    627     38     95    153     75    289
   330    320       0.714    626     27     94    135     53    245
   330    330       0.610    537     32     94    116     55    267
   330    340       0.506    534     32    104    125     47    289
   330    350       0.429    530     30     82     97     32    308
   330    360       0.370    543     20     79     98     43    231
   330    370       0.313    476     17     84     84     43    254
   330    380       0.270    540     19     72     96     39    237
   330    390       0.230    491     14     79     70     35    214
   330    400       0.198    486     16     83     67     38    201
   340    140      37.770    264    103     80    465     93     48
   340    150      27.640    379    121     79    472     95     58
   340    160      20.880    402    131     93    466    112     95
   340    170      15.970    446    151    122    538    127     78
   340    180      12.350    541    139    106    534    144    133
   340    190       9.616    623    134    136    515    141    128
   340    200       7.576    663    148    131    517    138    154
   340    210       6.037    711    104    139    512    143    192
   340    220       4.856    733     93    160    454    153    197
   340    230       3.875    723    115    164    407    128    214
   340    240       3.147    759    105    157    348    109    204
   340    250       2.598    725    110    135    318    112    191
   340    260       2.124    696     98    158    283     97    224
   340    270       1.740    721     82    142    268     75    180
   340    280       1.448    688     86    161    270     90    204
   340    290       1.199    691     58    133    233     78    272
   340    300       1.004    642     41    100    177     82    287
   340    310       0.838    569     35     80    140     77    284
   340    320       0.694    601     32     98    115     55    284
   340    330       0.589    608     36     94    122     57    286
   340    340       0.498    616     32     89    137     76    264
   340    350       0.423    554     18     73     97     55    292
   340    360       0.360    513     12     77     91     52    267
   340    370       0.304    528     15     76     82     44    262
   340    380       0.263    514     24     87     72     27    223
   340    390       0.229    461     22     86     69     38    236
   340    400       0.197    484     13     82     61     37    215
   350    140      36.410    297    106     77    367     86     66
   350    150      26.920    334    140     85    435     99     84
   350    160      20.060    380    136     85    448    112     80
   350    170      15.430    447    149    110    508    152    105
   350    180      11.950    555    149    136    525    156    132
   350    190       9.182    582    155    154    543    162    127
   350    200       7.349    625    152    136    470    162    182
   350    210       5.898    701    125    151    496    164    192
   350    220       4.684    738    153    164    488    167    193
   350    230       3.793    716    124    161    436    126    209
   350    240       3.014    751    103    151    383    139    217
   350    250       2.520    731    101    172    369    111    228
   350    260       2.050    694    104    143    312    101    233
   350    270       1.706    705     84    144    302    100    218
   350    280       1.403    728     81    144    228     84    215
   350    290       1.183    678     68    135    251     73    214
   350    300       0.987    659     56    123    197     94    241
   350    310       0.825    671     37     97    161     74    281
   350    320       0.687    631     38    100    135     71    282
   350    330       0.588    620     33     98    137     65    299
   350    340       0.489    629     26     93    115     81    294
   350    350       0.416    553     23    104    113     63    295
   350    360       0.352    560     23     88    111     53    277
   350    370       0.302    526     30     97    103     50    265
   350    380       0.259    534     16     89     82     46    214
   350    390       0.222    503     23     98     82     46    231
   350    400       0.193    489     21     74     67     29    207
   360    140      35.300    282    108     70    383     83     61
   360    150      25.800    328    124     91    466     83     71
   360    160      19.630    370    112     92    417    111     81
   360    170      14.880    425    147    102    516    130     89
   360    180      11.560    547    130    122    511    119    137
   360    190       9.005    616    146    131    512    140    158
   360    200       7.236    630    162    156    566    153    152
   360    210       5.680    737    130    173    501    148    190
   360    220       4.583    782    118    158    461    135    193
   360    230       3.684    756    128    140    448    132    202
   360    240       3.000    722     94    156    375    142    218
   360    250       2.453    732    114    171    373    110    210
   360    260       2.001    716     99    156    347     98    220
   360    270       1.669    748     85    149    301     89    218
   360    280       1.375    713     98    163    264    106    224
   360    290       1.147    699     62    140    240     78    217
   360    300       0.956    695     57    157    224     86    211
   360    310       0.805    632     42    117    203     66    257
   360    320       0.672    612     44    113    159     66    289
   360    330       0.563    659     41     96    152     83    302
   360    340       0.482    628     41    115    142     75    279
   360    350       0.408    628     32     74    115     59    281
   360    360       0.349    570     27    107    119     62    293
   360    370       0.294    535     27     84     84     45    275
   360    380       0.253    569     14     82     84     52    275
   360    390       0.219    496     22     84     80     35    255
   360    400       0.190    477     22     66     85     28    258
   370    140      33.860    306    124     72    413     97     58
   370    150      25.070    349    125     75    422    118     75
   370    160      18.780    374    141     95    491    104    105
   370    170      14.570    442    126    126    494    156     99
   370    180      11.160    489    142    111    560    135    117
   370    190       8.722    602    155    131    523    139    139
   370    200       6.954    613    164    169    541    170    185
   370    210       5.480    666    145    164    497    167    177
   370    220       4.422    745    153    152    513    173    178
   370    230       3.601    799    130    159    439    124    211
   370    240       2.908    776    128    149    437    138    217
   370    250       2.373    725     99    165    360    145    238
   370    260       1.963    720    100    183    317    129    227
   370    270       1.629    743     99    175    308     94    227
   370    280       1.331    755     77    149    239     98    214
   370    290       1.121    767     67    157    225     77    229
   370    300       0.935    676     51    149    226     87    239
   370    310       0.786    726     49    116    205     73    218
   370    320       0.657    658     48     91    170     77    255
   370    330       0.562    727     44    137    161     79    269
   370    340       0.467    677     35    119    138     66    257
   370    350       0.401    626     34    109    118     72    277
   370    360       0.342    559     32    103     94     69    330
   370    370       0.291    552     24     78    100     54    298
   370    380       0.250    524     15     89     82     45    269
   370    390       0.215    538     26     72     73     43    232
   370    400       0.185    488     18     79     81     37    232
   380    140      33.060    298    123     75    367     92     61
   380    150      24.480    360    133     79    435    113     89
   380    160      18.180    402    119     90    458    113    102
   380    170      13.850    463    137    115    493    141    124
   380    180      10.920    539    155    132    490    153    133
   380    190       8.642    581    148    155    518    158    144
   380    200       6.701    636    145    152    510    168    157
   380    210       5.411    631    139    166    590    147    192
   380    220       4.339    709    125    171    482    155    212
   380    230       3.504    748    140    169    500    179    195
   380    240       2.823    755    138    143    435    165    219
   380    250       2.318    765    121    147    395    134    223
   380    260       1.912    795    101    182    375    128    211
   380    270       1.561    788     94    164    333    101    216
   380    280       1.310    744     96    144    281    113    227
   380    290       1.088    746     71    154    236     84    236
   380    300       0.912    709     57    162    209     85    232
   380    310       0.766    730     60    153    202     71    223
   380    320       0.647    704     54    136    193     68    240
   380    330       0.546    768     61    160    212     76    257
   380    340       0.462    729     38    144    154     72    297
   380    350       0.393    647     35    117    129     72    261
   380    360       0.335    634     23    120    112     52    281
   380    370       0.286    594     24     92    132     48    278
   380    380       0.244    560     21     96    104     42    267
   380    390       0.211    525     21     78     71     49    253
   380    400       0.181    510     11     82     81     37    247
   390    140      32.590    188    101     52    368     62     25
   390    150      23.360    312    129     92    434    100     66
   390    160      17.790    408    124     88    491    109     80
   390    170      13.620    434    134    105    454    132    104
   390    180      10.550    530    129    115    502    113    134
   390    190       8.207    556    159    147    530    131    146
   390    200       6.515    637    136    145    561    166    155
   390    210       5.227    698    138    149    517    155    181
   390    220       4.208    738    123    154    493    160    211
   390    230       3.390    746    148    201    466    171    238
   390    240       2.740    726    139    190    438    155    229
   390    250       2.265    769    118    176    420    166    237
   390    260       1.850    771    113    203    381    117    241
   390    270       1.529    777     78    184    347    109    256
   390    280       1.287    808     99    185    299    121    209
   390    290       1.068    796     73    162    289     95    255
   390    300       0.895    746     68    159    249     62    227
   390    310       0.745    711     62    149    218     78    220
   390    320       0.627    749     59    159    202     66    240
   390    330       0.535    828     70    209    252     57    244
   390    340       0.453    807     75    162    192     79    280
   390    350       0.386    690     46    138    163     74    276
   390    360       0.333    649     46    106    136     73    284
   390    370       0.281    638     26    100    123     52    252
   390    380       0.241    565     26     99     86     67    283
   390    390       0.207    566     30     78    101     55    251
   390    400       0.179    560     25     71     83     44    261
   400    140      31.200    214    112     51    376     55     49
   400    150      23.090    352    101     75    420     96     64
   400    160      17.190    367    113     87    481    121     84
   400    170      13.090    419    119    114    479    133     98
   400    180      10.270    495    138    121    454    143    112
   400    190       7.999    525    159    136    518    129    152
   400    200       6.345    609    140    150    491    162    149
   400    210       5.014    691    170    180    525    179    183
   400    220       4.026    707    144    171    493    172    202
   400    230       3.292    775    143    192    485    151    212
   400    240       2.671    709    148    174    480    168    196
   400    250       2.210    718    131    177    370    141    217
   400    260       1.800    745    111    193    381    136    256
   400    270       1.501    739     95    183    401    142    255
   400    280       1.235    797     73    182    317    101    229
   400    290       1.033    792     75    178    269     96    240
   400    300       0.876    824     76    148    243     86    263
   400    310       0.738    726     69    141    230     74    223
   400    320       0.622    765     71    150    215     76    258
   400    330       0.526    835     67    187    233     77    261
   400    340       0.441    794     66    218    198     93    276
   400    350       0.378    826     56    163    180     76    265
   400    360       0.320    717     43    140    125     48    252
   400    370       0.274    668     44    123    112     56    296
   400    380       0.237    638     39     93    108     56    277
   400    390       0.204    569     22     91     95     45    267
   400    400       0.176    528     21     95    100     43    276
   410    140      30.540    211     94     59    421     51     23
   410    150      22.190    358    115     79    423    103     72
   410    160      16.570    431    120     94    445    122    101
   410    170      12.750    447    125    122    446    128    107
   410    180       9.895    521    121    117    481    140    127
   410    190       7.747    544    144    133    480    121    156
   410    200       6.164    617    122    141    548    153    161
   410    210       4.918    647    126    163    502    159    203
   410    220       3.933    673    119    171    516    170    208
   410    230       3.253    786    128    166    502    164    190
   410    240       2.615    734    133    158    430    153    221
   410    250       2.143    746    137    177    466    162    249
   410    260       1.772    793    130    187    353    155    251
   410    270       1.458    818     84    187    376    143    268
   410    280       1.217    828     82    180    314    114    256
   410    290       1.024    795     91    168    284    119    256
   410    300       0.851    775     80    188    246     83    243
   410    310       0.715    724     65    171    241     89    246
   410    320       0.600    808     48    173    203     81    264
   410    330       0.514    850     56    218    221     68    248
   410    340       0.433    867     69    189    216     83    281
   410    350       0.369    814     50    181    194     76    255
   410    360       0.316    805     47    157    171     65    262
   410    370       0.270    696     31    133    132     52    268
   410    380       0.231    658     40    122    113     71    288
   410    390       0.201    628     22    106     99     55    252
   410    400       0.172    534     35    108     89     51    238
   420    140      29.780    187    104     56    367     60     21
   420    150      21.760    233    114     49    400     67     42
   420    160      16.130    393     99     89    461    115     99
   420    170      12.490    421    100     88    411    154    127
   420    180       9.634    502    126    113    508    126    107
   420    190       7.589    526    147    130    473    140    147
   420    200       5.990    584    143    143    554    162    171
   420    210       4.782    639    111    151    492    146    185
   420    220       3.863    735    156    138    460    161    190
   420    230       3.151    742    147    164    498    182    213
   420    240       2.549    658    139    170    475    181    242
   420    250       2.079    767    122    199    441    155    240
   420    260       1.729    788    123    187    429    141    230
   420    270       1.424    793     96    163    359    149    255
   420    280       1.184    810    101    185    294    125    269
   420    290       1.000    803     74    149    302    118    257
   420    300       0.837    788     68    169    249     99    272
   420    310       0.709    780     74    160    227     85    229
   420    320       0.593    764     64    140    218     76    248
   420    330       0.507    849     64    194    228     81    249
   420    340       0.423    837     64    206    228     70    248
   420    350       0.363    847     44    178    219     65    258
   420    360       0.310    859     67    192    194     70    262
   420    370       0.264    723     53    146    179     53    263
   420    380       0.226    687     42    137    149     61    279
   420    390       0.194    632     32    116     92     39    291
   420    400       0.170    529     28     80    106     48    243
   430    140      28.830    185     96     44    363     58     35
   430    150      21.220    189    107     57    380     66     39
   430    160      15.720    373    117     92    443    135    108
   430    170      12.100    422     96    114    452    113    117
   430    180       9.309    466    105    122    487    136    122
   430    190       7.386    509    142    138    461    161    147
   430    200       5.794    530    139    131    495    151    161
   430    210       4.637    642    147    147    506    164    191
   430    220       3.763    673    128    166    475    179    211
   430    230       3.047    750    133    168    483    159    216
   430    240       2.451    698    136    177    431    164    197
   430    250       2.049    709    121    190    447    168    229
   430    260       1.688    808    123    169    400    155    243
   430    270       1.387    792    110    172    384    128    244
   430    280       1.165    771     95    164    360    124    249
   430    290       0.965    815    105    184    299    125    260
   430    300       0.813    779     89    166    306     94    267
   430    310       0.684    816     72    151    252     92    250
   430    320       0.581    780     64    165    211     83    280
   430    330       0.494    835     75    197    209     78    262
   430    340       0.419    822     63    187    214     66    234
   430    350       0.355    779     58    145    185     72    290
   430    360       0.305    803     68    191    177     58    276
   430    370       0.261    772     59    192    202     66    267
   430    380       0.223    752     39    147    176     64    272
   430    390       0.193    718     53    136    143     48    276
   430    400       0.166    623     37    114    100     42    263
   440    140      28.320    205     86     46    347     59     36
   440    150      20.630    232    102     80    412     70     47
   440    160      15.520    268    119     55    431    101     74
   440    170      11.640    414    114     78    446    120    132
   440    180       9.051    457     89     97    475    147    116
   440    190       7.144    527    122    129    460    153    166
   440    200       5.613    584    124    124    435    143    156
   440    210       4.517    593    119    138    539    167    176
   440    220       3.652    637    136    156    468    156    205
   440    230       2.996    684    114    172    448    177    245
   440    240       2.435    708    140    165    462    179    237
